Model,Test MAE,Test RMSE,Test Direction Accuracy (%),Train Direction Accuracy (%)
XGBoost,1.8256804347029865,2.3004393030213106,71.24183006535948,99.83660130718954
Random Forest,1.791230905456668,2.2702763684102267,69.28104575163398,87.09150326797386
LSTM (PyTorch),2.4041287960451823,3.1938779155957167,56.58914728682171,74.48979591836735
QNN (PyTorch+PennyLane),2.313572546498392,2.990369747761342,51.162790697674424,61.564625850340136
QSVM-QNN (PyTorch+PennyLane),2.2343086097346556,2.8715302399425675,50.3875968992248,50.51020408163265
Transformer (PyTorch),2.2345947491380898,2.8731095613035804,49.6124031007752,49.48979591836735
