Model,Avg_Test_Direction_Acc,Std_Test_Direction_Acc,Avg_Test_MAE,Std_Test_MAE,Avg_Test_RMSE,Std_Test_RMSE,Dataset_Count
XGBoost,71.56862745098042,3.2283605879320714,1.8018918421937704,0.1314203679629783,2.2696728225984657,0.15405506520297377,84
Random Forest,71.35854341736696,3.2972321466787458,1.765341621845449,0.12705396693061033,2.215262332270348,0.14837886915995532,84
LSTM (PyTorch),51.21816168327797,4.207861332494311,2.5684560082601755,0.3159787482027223,3.238659161386503,0.38651264647767347,84
Transformer (PyTorch),49.78774455518642,3.5336890030606556,2.3089125935766197,0.2411063914485692,2.901623735753399,0.3036528880038989,84
QNN (PyTorch+PennyLane),49.76928755998523,4.42260867986914,2.3320592807646072,0.2231963892901886,2.928820061332217,0.27834356832873103,84
QSVM-QNN (PyTorch+PennyLane),49.390919158361015,3.6131526600878656,2.25930081699173,0.2231938372962437,2.844082510392124,0.2766255014568128,84
