dataset,pool_name,model,test_mae,test_rmse,test_direction_acc,train_mae,train_rmse,train_direction_acc
frax_self_built_historical,frax,Random Forest,1.7783792415641053,2.2098995580650596,67.3202614379085,0.7601352174908246,0.9725375989483724,90.52287581699346
frax_self_built_historical,frax,XGBoost,1.8155125348765209,2.2677505122291035,69.28104575163398,0.007878888554873677,0.011862320201931693,100.0
